Line num,203465
packages num,18,132
files num,72,359
Average Line num per featured file,518,37315
,4
algo,44
chunker,4027
codec,175
compose,821
conn,1209
contrib/bench-lambda,97
contrib/config/monitoring/prometheus/chart-values,0
contrib/embargo,177
contrib/integration/acctupsert,202
contrib/integration/bank,335
contrib/integration/bigdata,206
contrib/integration/mutates,85
contrib/integration/swap,2572
contrib/integration/testtxn,767
contrib/jepsen,406
contrib/jepsen/browser,51
contrib/neo4j-converter,205
contrib/sbs,348
contrib/teamcity,224
dgraph,78
dgraph/cmd,359
dgraph/cmd/alpha,6916
dgraph/cmd/alpha/mutations_mode,154
dgraph/cmd/bulk,2153
dgraph/cmd/cert,626
dgraph/cmd/conv,136
dgraph/cmd/debug,953
dgraph/cmd/debuginfo,306
dgraph/cmd/decrypt,76
dgraph/cmd/increment,385
dgraph/cmd/live,1050
dgraph/cmd/live/load-json,158
dgraph/cmd/live/load-uids,345
dgraph/cmd/migrate,793
dgraph/cmd/version,41
dgraph/cmd/zero,3213
edgraph,3154
ee,340
ee/acl,3989
ee/audit,597
ee/backup,257
ee/enc,57
ee/updatemanifest,91
ee/vault,10
filestore,115
gql,11048
graphql,1
graphql/admin,3107
graphql/api,14
graphql/authorization,437
graphql/bench,415
graphql/dgraph,312
graphql/e2e/admin_auth/poorman_auth,61
graphql/e2e/admin_auth/poorman_auth_with_acl,108
graphql/e2e/auth,4716
graphql/e2e/auth/debug_off,329
graphql/e2e/auth_closed_by_default,184
graphql/e2e/common,12740
graphql/e2e/custom_logic,2924
graphql/e2e/custom_logic/cmd,1187
graphql/e2e/directives,47
graphql/e2e/multi_tenancy,382
graphql/e2e/normal,45
graphql/e2e/schema,749
graphql/e2e/subscription,863
graphql/resolve,6770
graphql/schema,11618
graphql/subscription,202
graphql/test,68
graphql/testdata/custom_bench,169
graphql/testdata/custom_bench/profiling,655
graphql/testdata/datagen,5
graphql/testdata/datagen/cmd,450
lex,365
posting,5392
protos,14
protos/pb,25026
query,23504
query/benchmark,0
raftwal,1487
schema,1835
systest,3514
systest/1million,9301
systest/21million/bulk,38
systest/21million/common,53
systest/21million/live,29
systest/audit,116
systest/backup/common,57
systest/backup/encryption,311
systest/backup/filesystem,371
systest/backup/minio,303
systest/backup/minio-large,186
systest/backup/multi-tenancy,168
systest/bgindex,930
systest/bulk_live/bulk,11
systest/bulk_live/common,900
systest/bulk_live/live,8
systest/cdc,49
systest/cloud,132
systest/export,231
systest/group-delete,171
systest/license,134
systest/loader,73
systest/multi-tenancy,350
systest/online-restore,607
systest/plugin,305
systest/posting-list-benchmark,109
t,662
task,49
telemetry,100
testutil,2152
testutil/custom_plugins/anagram,12
testutil/custom_plugins/cidr,102
testutil/custom_plugins/factor,31
testutil/custom_plugins/rune,17
tlstest/acl,28
tlstest/certrequest,45
tlstest/certrequireandverify,113
tlstest/certverifyifgiven,53
tlstest/mtls_internal/ha_6_node,127
tlstest/mtls_internal/multi_group,83
tlstest/mtls_internal/single_node,83
tlstest/zero_https/all_routes_tls,120
tlstest/zero_https/no_tls,52
tok,1150
types,3388
types/facets,179
upgrade,1362
worker,13339
x,5549
xidmap,676
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node_test.go,16,Select (number of branch),41,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node_test.go,2,Receive,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node_test.go,2,Receive,44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node_test.go,26,Waitgroup Done(),53,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node_test.go,30,Waitgroup,76,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node_test.go,25,Waitgroup Add(var),77,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node_test.go,1,Goroutine,78,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node_test.go,31,Waitgroup Wait(),86,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/raft_server.go,3,Send,123,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/raft_server.go,16,Select (number of branch),300,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/raft_server.go,2,Receive,301,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/raft_server.go,2,Receive,303,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/pool.go,1,Goroutine,161,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/pool.go,1,Goroutine,199,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/pool.go,1,Goroutine,237,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/pool.go,16,Select (number of branch),257,4
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/pool.go,2,Receive,258,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/pool.go,2,Receive,273,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/pool.go,2,Receive,275,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/pool.go,2,Receive,277,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/pool.go,17,Select with default (number of branch),319,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/pool.go,2,Receive,320,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,8,Known chan length (length),144,100
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,8,Known chan length (length),146,100
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,3,Send,205,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,22,chan used as a param,208,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,3,Send,274,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,350,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,17,Select with default (number of branch),372,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,373,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,8,Known chan length (length),386,100
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,1,Goroutine,389,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,17,Select with default (number of branch),396,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,3,Send,397,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,22,chan used as a param,432,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,17,Select with default (number of branch),458,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,459,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,16,Select (number of branch),477,4
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,478,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,505,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,522,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,529,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,8,Known chan length (length),582,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,16,Select (number of branch),593,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,594,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,596,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,8,Known chan length (length),662,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,16,Select (number of branch),663,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,3,Send,664,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,666,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,16,Select (number of branch),671,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,672,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,682,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,20,Receive only chan (<-chan),689,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,16,Select (number of branch),703,3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,704,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,706,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,712,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,16,Select (number of branch),722,3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,723,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,725,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,727,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,17,Select with default (number of branch),731,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,2,Receive,732,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/conn/node.go,3,Send,754,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/debug/run.go,1,Goroutine,847,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/license_ee.go,16,Select (number of branch),83,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/license_ee.go,2,Receive,84,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/license_ee.go,2,Receive,111,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/assign.go,8,Known chan length (length),273,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/assign.go,1,Goroutine,274,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/assign.go,3,Send,275,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/assign.go,16,Select (number of branch),278,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/assign.go,2,Receive,279,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/assign.go,2,Receive,281,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/tablet.go,3,Send,130,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/tablet.go,2,Receive,132,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,8,Known chan length (length),64,100000
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,1,Goroutine,66,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,8,Known chan length (length),179,1000
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,3,Send,180,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,16,Select (number of branch),211,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,2,Receive,212,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,2,Receive,213,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,17,Select with default (number of branch),225,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,2,Receive,226,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,17,Select with default (number of branch),248,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,3,Send,249,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,3,Send,282,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,3,Send,300,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,16,Select (number of branch),462,4
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,2,Receive,463,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,2,Receive,465,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,2,Receive,475,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,2,Receive,477,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/oracle.go,1,Goroutine,518,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/run.go,1,Goroutine,193,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/run.go,4,Synchronous chan,200,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/run.go,1,Goroutine,202,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/run.go,15,Close chan,204,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/run.go,16,Select (number of branch),206,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dgraph-io++dgraph/dgraph/cmd/zero/run.go,2,Receive,207,
