Line num,72417
packages num,36,139
files num,52,584
Average Line num per featured file,172,8966
,1128
.github/linters,0
app,1
app/browserforwarder,250
app/commander,377
app/dispatcher,733
app/dns,3980
app/dns/fakedns,564
app/log,416
app/log/command,363
app/observatory,646
app/observatory/command,350
app/policy,806
app/proxyman,935
app/proxyman/command,1294
app/proxyman/inbound,906
app/proxyman/outbound,406
app/reverse,860
app/router,2638
app/router/command,1042
app/stats,885
app/stats/command,945
common,264
common/antireplay,78
common/bitmask,44
common/buf,1825
common/bytespool,50
common/cache,134
common/cmdarg,10
common/crypto,774
common/crypto/internal,239
common/dice,79
common/drain,62
common/errors,230
common/errors/errorgen,30
common/log,394
common/mux,1263
common/net,1493
common/peer,24
common/platform,204
common/platform/ctlcmd,56
common/platform/filesystem,51
common/platform/securedload,80
common/protocol,1487
common/protocol/bittorrent,22
common/protocol/dns,123
common/protocol/http,306
common/protocol/tls,282
common/protocol/tls/cert,268
common/protocol/udp,11
common/retry,137
common/serial,364
common/session,165
common/signal,156
common/signal/done,35
common/signal/pubsub,113
common/signal/semaphore,19
common/strmatcher,1205
common/task,206
common/uuid,132
features,15
features/dns,60
features/dns/localdns,69
features/extension,29
features/inbound,21
features/outbound,25
features/policy,126
features/routing,61
features/routing/dns,62
features/routing/session,96
features/stats,91
infra/conf,4951
infra/conf/cfgcommon,442
infra/conf/cfgcommon/duration,58
infra/conf/command,43
infra/conf/geodata,261
infra/conf/geodata/memconservative,309
infra/conf/geodata/standard,58
infra/conf/json,204
infra/conf/rule,401
infra/conf/serial,132
infra/control,692
infra/control/main,43
infra/vformat,153
infra/vprotogen,210
main,144
main/confloader,32
main/confloader/external,76
main/distro/all,53
main/distro/debug,9
main/json,39
main/jsonem,45
proxy,26
proxy/blackhole,350
proxy/dns,746
proxy/dokodemo,392
proxy/freedom,437
proxy/http,844
proxy/loopback,228
proxy/mtproto,606
proxy/shadowsocks,1298
proxy/socks,1238
proxy/trojan,1207
proxy/vless,216
proxy/vless/encoding,510
proxy/vless/inbound,588
proxy/vless/outbound,266
proxy/vmess,523
proxy/vmess/aead,456
proxy/vmess/encoding,1203
proxy/vmess/inbound,609
proxy/vmess/outbound,352
testing/mocks,367
testing/scenarios,5875
testing/servers/http,33
testing/servers/tcp,109
testing/servers/udp,64
transport,149
transport/internet,1836
transport/internet/domainsocket,393
transport/internet/grpc,353
transport/internet/grpc/encoding,357
transport/internet/headers/http,1231
transport/internet/headers/noop,195
transport/internet/headers/srtp,223
transport/internet/headers/tls,185
transport/internet/headers/utp,180
transport/internet/headers/wechat,174
transport/internet/headers/wireguard,144
transport/internet/http,602
transport/internet/kcp,2757
transport/internet/quic,858
transport/internet/tagged,7
transport/internet/tagged/taggedimpl,45
transport/internet/tcp,420
transport/internet/tls,883
transport/internet/udp,572
transport/internet/websocket,980
transport/pipe,380
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/transport/internet/grpc/dial.go,27,Mutex,44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/transport/internet/grpc/dial.go,29,Mutex Lock(),71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/transport/internet/grpc/dial.go,28,Mutex Unlock(),72,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/transport/internet/grpc/dial.go,29,Mutex Lock(),79,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/transport/internet/grpc/dial.go,28,Mutex Unlock(),80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/transport/internet/grpc/hub.go,2,Receive,34,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/transport/internet/grpc/hub.go,1,Goroutine,87,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/common/signal/done/done.go,17,Select with default (number of branch),23,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/common/signal/done/done.go,2,Receive,24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/proxy/blackhole/blackhole_test.go,4,Synchronous chan,23,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/proxy/blackhole/blackhole_test.go,1,Goroutine,25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/proxy/blackhole/blackhole_test.go,3,Send,28,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/proxy/blackhole/blackhole_test.go,2,Receive,36,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/proxy/trojan/server.go,17,Select with default (number of branch),220,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/proxy/trojan/server.go,2,Receive,221,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/v2fly++v2ray-core/transport/internet/websocket/connforwarder.go,2,Receive,21,
